district,agro_climatic_zone,soil_type,season,crop,area_hectares,nitrogen_kgha,phosphorus_kgha,potassium_kgha,soil_ph,organic_carbon_pct,rainfall_mm,temperature_celsius,irrigation_type,yield_qha
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,2.14,35.3,55.1,42.7,6.87,0.28,1223.6,26.4,Borewell,14.02
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),2.79,77.3,29.8,54.2,5.4,0.42,1636.8,26.2,Rainfed,17.19
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Groundnut,1.19,20.1,39.8,61.3,6.52,0.75,1778.2,26.6,Borewell,9.98
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Groundnut,0.81,14.3,52.2,54.8,6.4,0.41,1462.6,26.3,Rainfed,6.78
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.52,41.8,20.5,21.6,6.43,0.46,1150.0,25.6,Rainfed,7.19
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),2.36,74.9,10.7,11.3,5.31,0.44,1606.1,28.3,Rainfed,2.5
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,2.53,75.3,62.7,42.0,5.14,0.47,1586.6,22.1,Borewell,10.55
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Paddy (Kharif),2.51,102.6,22.3,33.7,6.86,0.28,1541.2,27.2,Borewell,13.48
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),1.47,0.0,57.3,38.1,7.04,0.6,209.9,24.9,Canal,2.5
Mayurbhanj,North Central Plateau,Red Laterite,Rabi,Mustard,1.01,53.9,21.9,27.3,5.83,0.56,20.0,24.9,Rainfed,2.57
Sambalpur,Western Central Table Land,Black Soil,Rabi,Green Gram (Moong),1.47,19.6,35.4,19.8,6.15,0.67,191.7,25.6,Canal,2.5
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.63,100.1,45.8,22.7,7.01,0.72,1034.8,29.1,Borewell,9.14
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),3.37,42.7,35.6,22.6,5.12,0.56,1208.5,24.6,Rainfed,9.5
Sambalpur,Western Central Table Land,Black Soil,Rabi,Green Gram (Moong),2.76,31.9,23.7,4.8,6.78,0.55,185.9,22.1,Canal,2.5
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,1.59,42.9,56.2,61.7,5.81,0.5,822.4,28.4,Rainfed,10.22
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Paddy (Kharif),1.46,115.2,59.5,57.8,6.52,0.55,1323.9,26.3,Rainfed,31.19
Sambalpur,Western Central Table Land,Black Soil,Kharif,Maize,0.32,67.4,33.8,50.0,6.62,0.47,1338.8,26.4,Rainfed,15.37
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,2.0,17.7,71.8,63.9,5.96,0.48,1836.9,27.6,Borewell,9.08
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.13,113.0,68.4,32.9,6.29,0.65,102.7,25.5,Canal,26.65
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,1.64,107.9,65.8,54.0,5.76,0.46,829.6,29.6,Rainfed,18.5
Bargarh,Western Central Table Land,Black Soil,Kharif,Groundnut,1.83,72.1,62.3,31.1,6.56,0.58,1487.7,30.2,Canal,4.37
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,1.25,9.0,59.5,37.9,6.71,0.73,1313.8,29.2,Rainfed,7.09
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),0.98,62.8,43.3,49.9,6.26,0.71,1368.7,29.7,Borewell,20.13
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,2.54,51.4,45.3,21.3,5.98,0.47,1227.5,29.5,Rainfed,9.81
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),1.92,49.2,10.8,13.1,6.21,0.6,1824.1,24.4,Rainfed,5.84
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.5,79.7,66.5,60.9,6.64,0.56,159.3,26.3,Borewell,28.94
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.8,9.3,30.8,51.5,6.33,0.5,173.7,24.2,Rainfed,2.5
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.36,110.5,58.8,73.6,6.13,0.68,1267.8,27.4,Canal,21.97
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),4.09,131.4,82.1,60.5,6.18,0.48,1355.5,29.8,Rainfed,21.06
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),2.88,103.8,54.5,45.3,7.15,0.61,1358.5,30.1,Borewell,25.02
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Ragi (Mandia),1.58,69.6,10.2,30.9,5.62,0.5,1103.0,27.6,Borewell,3.48
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.51,108.2,54.4,54.5,6.88,0.49,1111.1,28.2,Canal,33.27
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Mustard,3.28,16.9,24.5,15.5,6.56,0.49,144.8,21.7,Rainfed,3.06
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.71,21.7,17.8,0.0,5.84,0.46,261.1,26.2,Rainfed,2.5
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,2.48,24.5,51.1,50.0,6.87,0.66,1091.6,28.1,Rainfed,8.11
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.84,58.3,59.9,38.3,7.27,0.67,1241.7,27.8,Rainfed,18.21
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),2.18,111.9,43.2,46.2,6.39,0.43,211.4,23.8,Rainfed,29.47
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.71,76.6,52.9,28.1,7.2,0.63,1401.6,28.2,Canal,14.3
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),2.05,73.2,27.7,41.1,6.72,0.65,195.4,26.0,Canal,13.88
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Paddy (Kharif),1.14,104.9,34.1,50.6,6.26,0.59,1294.6,27.9,Rainfed,21.6
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),1.6,91.4,48.4,34.9,6.53,0.49,1052.0,28.6,Canal,16.85
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),2.43,42.8,46.4,35.6,6.64,0.43,1317.4,29.4,Canal,6.35
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),1.52,118.8,57.7,57.0,6.7,0.63,21.8,21.1,Canal,26.56
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.85,103.1,42.1,78.2,6.53,0.46,1263.2,27.4,Borewell,23.96
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.99,70.0,67.0,19.8,6.82,0.4,1313.4,27.5,Borewell,9.39
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.94,12.8,48.2,38.2,6.76,0.67,69.1,23.4,Rainfed,4.81
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.31,71.7,44.5,42.1,5.59,0.44,1288.4,26.5,Rainfed,12.69
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Maize,0.67,109.4,46.0,37.6,5.5,0.3,1677.3,26.1,Rainfed,10.33
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.32,17.1,41.3,22.9,6.56,0.44,1561.3,30.5,Borewell,4.65
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Green Gram (Moong),1.46,55.3,41.6,12.1,7.15,0.47,176.9,23.8,Borewell,2.7
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Groundnut,0.79,65.6,54.3,57.0,6.76,0.35,1420.1,28.1,Rainfed,15.03
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,1.49,62.4,47.9,39.4,6.76,0.33,806.0,30.5,Rainfed,10.35
Sambalpur,Western Central Table Land,Black Soil,Kharif,Maize,0.97,86.8,60.4,26.0,6.71,0.52,1370.2,30.5,Canal,15.65
Mayurbhanj,North Central Plateau,Red Laterite,Rabi,Mustard,1.17,69.6,26.2,51.9,6.22,0.42,302.2,23.5,Borewell,8.69
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.75,119.3,46.5,62.5,6.63,0.83,125.2,23.7,Rainfed,32.29
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.92,86.5,27.7,35.4,6.3,0.49,1465.2,26.9,Canal,23.62
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,2.99,29.7,32.0,55.6,6.86,0.16,1199.8,26.3,Borewell,9.26
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),1.27,138.1,44.6,76.2,6.71,0.57,123.6,20.7,Borewell,34.03
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,2.07,128.6,35.1,39.0,5.39,0.8,1635.8,25.4,Borewell,10.39
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),2.03,60.9,37.7,38.4,4.93,0.44,1342.7,28.6,Borewell,9.38
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Maize,1.43,74.6,34.5,52.7,5.62,0.64,1422.6,29.4,Rainfed,16.12
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,0.49,60.9,70.7,13.6,6.81,0.6,1614.3,24.9,Borewell,2.5
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.74,43.6,37.9,9.1,4.9,0.15,1396.3,26.7,Borewell,3.93
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,1.11,89.0,39.4,37.3,5.26,0.45,932.9,29.1,Rainfed,16.38
Bargarh,Western Central Table Land,Alluvial,Rabi,Paddy (Rabi),4.13,83.7,64.4,37.4,6.15,0.42,43.3,22.0,Canal,21.0
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),1.73,24.7,29.2,23.5,7.15,0.25,288.6,27.1,Canal,3.64
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.41,87.6,42.4,12.2,5.43,0.37,1605.1,22.7,Rainfed,5.78
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),0.47,40.3,18.2,25.4,5.32,0.7,1394.7,26.3,Rainfed,3.2
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,1.17,99.8,69.6,49.4,5.73,0.64,1467.4,29.5,Rainfed,18.68
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.75,52.2,45.6,26.4,6.67,0.6,1355.3,28.3,Canal,15.65
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.97,76.4,46.6,38.7,6.94,0.45,1175.3,30.2,Canal,25.13
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.85,58.6,43.3,53.5,7.17,0.73,879.0,27.5,Borewell,9.62
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),1.32,110.1,32.5,48.4,6.4,0.6,171.0,22.0,Rainfed,18.01
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),0.99,40.3,49.8,23.2,6.6,0.42,142.7,24.1,Canal,5.79
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,0.84,92.1,47.1,33.1,5.21,0.4,1348.7,21.6,Rainfed,10.94
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Groundnut,2.87,10.6,62.7,37.6,6.45,0.57,1595.8,28.8,Borewell,8.38
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),0.76,104.0,47.2,72.5,6.21,0.63,103.2,24.1,Canal,28.84
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),3.91,71.7,74.2,30.1,5.94,0.52,1523.2,23.9,Borewell,10.17
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,2.75,0.0,55.1,61.0,6.68,0.49,1516.5,26.8,Rainfed,2.5
Bargarh,Western Central Table Land,Alluvial,Rabi,Paddy (Rabi),3.17,103.4,69.4,44.7,6.76,0.66,166.0,26.1,Canal,26.22
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),1.73,40.1,32.4,25.6,5.18,0.55,1205.8,25.5,Rainfed,10.75
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Paddy (Kharif),1.12,61.6,48.8,51.7,5.77,0.38,1183.9,27.3,Rainfed,12.34
Bargarh,Western Central Table Land,Alluvial,Rabi,Paddy (Rabi),0.66,114.5,46.1,55.0,6.43,0.5,125.5,22.3,Canal,28.07
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,2.31,21.8,44.0,62.3,5.93,0.5,1330.7,29.6,Borewell,5.59
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),4.27,10.9,42.9,9.1,6.87,0.64,139.3,26.6,Rainfed,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),0.5,83.2,44.6,66.5,7.03,0.84,1893.9,26.4,Borewell,30.1
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),0.9,70.5,25.1,54.8,6.68,0.24,1317.0,28.8,Rainfed,12.51
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),2.25,70.7,29.1,31.3,5.83,0.8,1263.2,23.0,Rainfed,10.75
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,0.75,146.5,65.5,48.7,6.28,0.4,1295.0,27.9,Borewell,20.13
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.07,15.3,47.4,10.7,6.91,0.53,130.5,24.8,Borewell,5.92
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),1.46,116.3,61.2,40.8,6.98,0.51,76.5,24.2,Rainfed,23.99
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),2.67,137.1,38.7,15.1,6.03,0.95,244.3,25.6,Canal,13.75
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),1.48,54.4,32.2,1.1,6.36,0.47,1246.0,29.3,Borewell,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),3.53,120.5,46.9,42.3,6.82,0.57,1512.4,26.1,Rainfed,18.6
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,1.49,87.3,41.1,55.1,6.14,0.8,1397.1,25.9,Borewell,24.04
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,1.32,15.2,44.2,32.4,7.0,0.62,1291.8,28.5,Borewell,2.96
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),0.76,121.2,68.8,52.4,6.73,0.4,63.0,23.5,Borewell,32.71
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,2.42,75.9,30.5,47.1,4.95,0.35,254.7,25.0,Rainfed,5.45
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,1.72,55.9,44.2,58.1,4.8,0.72,1328.7,22.1,Rainfed,6.65
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),1.0,81.2,56.1,58.0,7.43,0.74,1482.0,27.7,Rainfed,25.08
Sambalpur,Western Central Table Land,Black Soil,Kharif,Maize,3.98,125.4,51.8,54.6,6.67,0.43,1089.8,30.3,Canal,23.53
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Maize,2.58,54.2,36.1,35.3,5.76,0.56,1565.7,27.2,Borewell,8.1
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,0.55,82.1,36.4,45.0,6.49,0.51,972.9,27.5,Rainfed,16.44
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),1.2,38.1,41.2,0.0,6.12,0.71,1490.0,22.4,Borewell,2.5
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),0.92,93.1,37.8,26.5,6.86,0.44,256.6,26.2,Canal,15.07
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),1.96,50.1,13.0,20.9,5.11,0.53,1287.2,29.1,Rainfed,7.96
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,0.35,96.7,56.7,28.4,4.8,0.52,1287.1,22.8,Rainfed,13.1
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,0.75,83.7,18.6,49.2,6.54,0.61,122.3,27.0,Rainfed,7.54
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,1.39,60.7,64.7,11.4,5.56,0.41,191.7,21.9,Rainfed,2.5
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),2.51,90.4,42.5,57.0,6.53,0.46,1418.5,29.6,Canal,18.53
Sambalpur,Western Central Table Land,Black Soil,Rabi,Green Gram (Moong),2.59,34.8,48.6,9.6,6.13,0.46,110.0,25.0,Canal,3.95
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.32,127.8,45.4,22.3,7.32,0.6,176.6,26.3,Rainfed,19.95
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Paddy (Kharif),2.68,129.0,65.0,36.3,7.57,0.51,1133.3,29.7,Rainfed,20.33
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,1.7,35.6,51.0,45.0,6.16,0.54,1430.3,22.8,Borewell,11.29
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),0.9,121.2,35.4,28.1,6.27,0.43,263.6,21.1,Canal,17.15
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),1.35,49.4,1.3,51.1,5.36,0.3,1734.0,25.7,Borewell,2.5
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.05,137.9,54.5,63.8,6.59,0.28,228.3,25.2,Canal,30.37
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),1.09,94.4,63.1,73.5,6.99,0.76,1108.0,25.9,Rainfed,30.82
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.75,88.8,36.7,20.4,7.49,0.58,888.5,29.1,Rainfed,8.73
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),2.85,42.5,66.1,44.1,5.26,0.7,1771.9,26.8,Rainfed,9.93
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,0.25,2.3,58.3,43.1,6.43,0.58,931.6,30.1,Rainfed,2.5
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,1.81,10.2,49.3,55.6,6.47,0.5,1367.0,29.5,Rainfed,9.94
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),2.63,118.4,31.8,43.1,6.96,0.52,1038.6,27.0,Borewell,23.23
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,0.64,54.9,42.9,52.5,4.83,0.52,85.8,22.5,Rainfed,5.73
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),2.26,74.9,30.6,43.4,6.6,0.81,1556.3,27.0,Canal,17.86
Bargarh,Western Central Table Land,Alluvial,Rabi,Paddy (Rabi),1.36,88.4,42.4,13.0,6.86,0.51,170.9,21.8,Canal,3.7
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.64,127.5,51.8,38.3,7.12,0.68,131.2,23.2,Canal,24.57
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),2.75,14.9,12.1,25.6,5.43,0.49,1355.8,22.1,Rainfed,2.5
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),3.55,81.5,52.5,54.7,7.6,0.17,250.7,22.9,Borewell,23.67
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,2.78,120.0,54.8,45.6,5.86,0.57,1578.4,23.6,Borewell,19.04
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,0.7,92.0,62.6,8.2,5.86,0.39,856.0,27.2,Borewell,14.71
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.8,0.0,44.3,22.2,6.31,0.44,208.3,26.0,Rainfed,2.5
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.68,130.0,60.0,47.3,6.06,0.7,195.8,25.1,Rainfed,33.8
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,1.88,115.6,69.0,38.6,5.58,0.59,851.3,29.0,Rainfed,17.74
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Paddy (Kharif),4.73,56.8,57.7,46.5,5.81,0.72,1726.3,25.1,Rainfed,19.7
Ganjam,South Eastern Coastal Plain,Red Laterite,Rabi,Green Gram (Moong),3.22,33.8,18.7,22.7,6.45,0.47,132.2,24.9,Borewell,3.97
Sundargarh,North Western Plateau,Red Laterite,Rabi,Mustard,3.16,84.6,29.1,15.7,5.04,0.75,205.0,22.3,Rainfed,2.5
Sambalpur,Western Central Table Land,Black Soil,Rabi,Green Gram (Moong),2.39,42.3,19.5,20.1,6.43,0.61,256.6,24.9,Rainfed,3.24
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,0.86,18.2,68.0,50.2,5.92,0.52,1564.0,30.1,Borewell,10.98
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,3.13,105.0,72.9,29.3,5.59,0.15,1020.4,22.2,Rainfed,14.16
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.73,0.0,41.2,51.6,6.53,0.71,180.7,24.9,Rainfed,2.5
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,1.55,107.8,82.1,37.8,6.01,0.46,1194.4,29.4,Borewell,21.26
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.44,14.7,46.7,45.3,7.01,0.39,118.4,24.5,Rainfed,3.46
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),0.67,48.1,54.1,7.4,5.37,0.74,1318.4,26.3,Rainfed,2.5
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Green Gram (Moong),2.67,0.0,36.6,26.0,7.31,0.71,111.8,25.2,Rainfed,2.5
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Ragi (Mandia),0.26,61.9,18.9,19.1,6.27,0.82,1413.1,30.8,Rainfed,5.31
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),0.86,94.1,61.2,35.0,6.19,0.65,182.0,24.4,Rainfed,25.53
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),0.98,54.5,39.6,31.2,5.91,0.77,1388.6,23.0,Borewell,11.39
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Groundnut,3.72,1.1,36.2,54.5,7.74,0.35,1579.5,26.0,Borewell,2.5
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.94,87.8,60.2,63.5,6.62,0.63,1525.6,28.0,Borewell,22.58
Cuttack,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),2.23,123.6,58.4,45.4,7.1,0.46,1538.5,27.7,Borewell,32.17
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,0.43,89.3,25.2,42.4,5.08,0.58,73.9,23.7,Rainfed,2.5
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,0.41,87.8,55.7,38.5,5.36,0.43,1150.6,21.7,Borewell,18.4
Sambalpur,Western Central Table Land,Black Soil,Kharif,Maize,1.46,80.0,72.3,54.0,7.16,0.76,1140.3,29.7,Rainfed,21.97
Bargarh,Western Central Table Land,Black Soil,Kharif,Groundnut,1.05,34.3,68.1,22.8,6.58,0.34,1295.1,26.8,Canal,9.94
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.16,91.9,42.4,19.7,6.79,0.55,1161.7,27.0,Canal,10.42
Mayurbhanj,North Central Plateau,Sandy Loam,Rabi,Mustard,0.9,92.2,32.7,13.5,6.12,0.65,89.1,24.3,Borewell,4.31
Cuttack,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.77,88.3,39.5,70.1,6.32,0.63,1597.7,26.2,Rainfed,23.93
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),1.48,43.2,36.5,49.9,5.5,0.31,1449.1,25.5,Borewell,8.23
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,0.81,81.6,27.5,34.5,5.5,0.65,1747.1,26.5,Borewell,3.53
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),1.34,67.3,50.9,47.4,4.87,0.5,1506.6,22.5,Rainfed,9.39
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.95,100.8,66.2,50.4,6.1,0.55,1213.3,26.7,Rainfed,25.1
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,1.58,46.4,43.4,14.8,6.25,0.46,131.4,25.0,Rainfed,4.52
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.94,40.4,15.3,0.0,6.26,0.48,173.5,22.2,Rainfed,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),2.08,108.4,64.6,52.2,6.56,0.56,252.0,26.2,Rainfed,25.31
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),2.48,97.0,43.6,49.4,6.36,0.43,1728.0,28.0,Rainfed,25.22
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,1.01,93.4,43.1,28.4,5.14,0.55,1532.2,22.5,Rainfed,6.77
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),0.59,64.9,33.8,54.0,6.74,0.57,1914.8,26.6,Rainfed,16.23
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),1.71,28.9,0.0,16.8,7.06,0.36,1412.7,29.9,Borewell,2.5
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,0.39,106.6,22.5,19.4,6.76,0.51,131.1,24.4,Rainfed,4.19
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),2.85,117.3,54.6,45.8,6.57,0.57,176.3,24.7,Rainfed,31.17
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Ragi (Mandia),1.67,51.6,9.9,13.1,5.91,0.63,1636.2,27.6,Rainfed,2.5
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),3.61,73.8,43.2,37.7,6.96,0.47,1304.3,28.3,Rainfed,16.17
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),0.3,12.6,16.5,39.7,5.31,0.6,1246.9,23.4,Borewell,3.65
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Green Gram (Moong),4.61,38.0,7.8,10.9,5.85,0.56,113.8,21.9,Borewell,2.61
